name,birth_date
Michael Buble,09 September 1975
Roald Dahl,13 September 1916
Joaquin Phoenix,28 October 1974
Emilia Clarke,23 October 1986
Brie Larson,01 October 1989
Mahatma Gandhi,02 October 1869
Carrie Fisher,21 October 1956
Ryan Reynolds,23 October 1976
Bill Gates,28 October 1955
Lewis Capaldi,07 October 1996
Gwen Stefani,03 October 1969
John Lennon,09 October 1940
Jon Favreau,19 October 1966
John Krasinski,20 October 1979
bob Ross,29 October 1942
Julia Roberts,28 October 1967
Vladimir Putin,07 October 1952
Sacha Baron Cohen,13 October 1971
Theodore Roosevelt,27 October 1858
Matt Damon,08 October 1970
Winona Dyfer,28 October 1971
Katy Perry,25 October 1984
Sylvia Plath,27 October 1932
Jeff Goldblum,22 October 1952
Kate Winslet,05 October 1975
Pablo Picasso,25 October 1881
Hugh Jackman,12 October 1968
Wayne Rooney,24 October 1985
Theresa May,01 October 1956
Scarlett Johansson,22 November 1984
Winston Churchill,30 November 1874
Leonardo DiCaprio,11 November 1974
Bruce Lee,27 November 1940
Miley Cyrus,23 November 1992
Danny DeVito,17 November 1944
Matthew McConaughey,04 November 1969
Anne Hathaway,12 November 1982
Gordon Ramsay,08 November 1966
Emma Stone,06 November 1988
Tina Turner,26 November 1939
Ryan Gosling,12 November 1980
Jimi Hendrix,27 November 1942
Gerard Butler,13 November 1969
Rachel McAdams,17 November 1978
Adam Driver,19 November 1983
David Schwimmer,02 November 1966
Mark Ruffalo,22 November 1967
Martin Scorsese,17 November 1942
Ben Stiller,30 November 1965
Mary Elizabeth Winstead,28 November 1984
Billie Eilish,18 December 2001
Kit Harington,26 December 1986
Taylor Swift,13 December 1989
Brad Pitt,18 December 1963
Frank Sinatra,12 December 2015
Walt Disney,05 December 1901
Vanessa Hudgens,14 December 1988
Ozzy Osbourne,03 December 1948
Justin Trudeau,25 December 1971
Jake Gyllenhaal,19 December 1980
Jared Leto,26 December 1971
Jamie Foxx,13 December 1967
Jay-Z,04 December 1969
Britney Spears,02 December 1981
Steven Spielberg,18 December 1946
Denzel Washington,28 December 1954
Samuel L. Jackson,21 December 1948
Stan Lee,28 December 2022
Tiger Woods,30 December 1975
Brendan Fraser,03 December 1968
Jonah Hill,20 December 1983
Christina Aguilera,18 December 1980
Amanda Seyfried,03 December 1985
Raheem Stirling,08 December 1994
Emmanuel Macron,21 December 1977
Jude Law,29 December 1972
Noam Chomsky,07 December 1928
Ellie Goulding,30 December 1986
Jim Morrison,08 December 1943
Jeff Bridges,04 December 1949
